boarded,budget,memberCount,preferredClass,sex,age
0,2201,0,1,0,2
0,1775,3,1,1,0
1,1775,3,1,0,0
1,1775,3,1,1,3
1,1775,3,1,0,2
0,852,0,1,1,4
0,1207,1,1,0,6
1,710,0,1,1,3
0,1065,2,1,0,5
1,994,0,1,1,7
1,2272,1,1,1,4
0,2272,1,1,0,1
0,1136,0,1,0,2
0,1207,0,1,0,2
0,923,0,1,1,8
1,852,0,1,1,0
1,2414,1,1,1,2
0,2414,1,1,0,5
0,1207,0,1,0,3
1,1207,0,1,1,3
0,1065,2,1,1,3
0,1065,2,1,0,4
0,923,0,1,1,2
0,2272,0,1,0,4
0,2272,0,1,0,2
1,852,0,1,1,2
0,1349,1,1,1,2
0,1349,1,1,0,1
0,1633,0,1,0,3
0,852,0,1,1,2
1,923,0,1,1,4
0,923,0,1,1,4
0,1846,0,1,0,3
0,852,0,1,0,5
1,852,0,1,1,4
0,2556,0,1,0,4
0,1065,1,1,0,2
0,852,0,1,1,0
1,923,0,1,1,4
1,1065,0,1,1,4
1,923,0,1,1,0
0,852,0,1,0,4
0,1065,2,1,0,5
0,1207,0,1,0,6
0,1633,0,1,0,4
1,852,0,1,1,4
1,923,0,1,1,0
0,852,0,1,1,4
0,852,0,1,0,5
0,4331,1,1,1,3
0,4331,1,1,0,5
1,710,0,1,1,3
1,994,0,1,1,2
1,994,0,1,1,1
0,1562,3,1,1,1
0,1562,3,1,0,1
0,1562,3,1,1,3
0,1562,3,1,0,3
1,852,0,1,1,4
0,852,0,1,0,0
1,1207,1,1,1,3
0,1207,1,1,0,7
1,1136,1,1,1,4
0,1136,1,1,0,4
0,1065,1,1,1,2
0,1065,1,1,0,3
0,2556,0,1,0,3
0,1278,0,1,0,3
0,852,0,1,1,4
0,1065,1,1,0,0
1,710,0,1,1,0
1,1633,1,1,1,2
0,1633,1,1,0,2
0,1775,0,1,0,2
1,1065,0,1,1,0
1,852,0,1,1,4
0,1278,2,1,0,3
1,1278,2,1,1,3
0,1278,2,1,0,6
0,852,2,1,0,5
1,852,0,1,1,0
1,1207,2,1,1,7
0,1207,2,1,0,3
0,852,2,1,0,6
1,1207,1,1,1,3
0,1207,1,1,0,3
0,852,0,1,1,5
0,923,0,1,1,2
0,1775,0,1,0,3
1,1065,1,1,1,3
0,1065,3,1,0,2
0,1065,1,1,1,3
0,1065,1,1,0,1
0,1278,2,1,1,5
0,1278,2,1,1,0
0,1278,2,1,0,5
1,1420,1,1,1,5
0,2414,2,1,0,2
0,1420,1,1,0,4
0,923,1,1,0,4
0,1065,1,1,1,4
1,852,0,1,1,3
0,1278,1,1,0,2
0,2272,0,1,0,3
0,1207,1,1,0,5
1,923,0,1,0,3
1,2272,0,1,1,0
0,923,0,1,0,0
0,1491,0,1,0,0
0,852,0,1,1,3
1,852,0,1,1,3
0,2556,5,1,0,2
0,2556,5,1,0,2
0,2556,5,1,0,2
1,2556,5,1,1,1
1,2556,5,1,1,6
0,2556,5,1,0,6
0,1065,0,1,0,3
1,852,0,1,1,0
0,1633,2,1,1,5
0,852,1,1,1,4
0,1633,1,1,0,0
0,994,2,1,0,2
0,1207,2,1,1,6
0,1207,2,1,0,4
1,710,0,1,1,0
1,1065,1,1,1,3
0,1065,1,1,0,3
1,923,0,1,1,4
0,2201,0,1,0,3
0,1065,1,1,0,2
0,1065,1,1,0,4
1,1207,0,1,1,2
0,1278,1,1,1,4
0,1278,1,1,0,0
1,923,0,1,1,7
0,852,0,1,1,5
0,923,0,1,0,1
1,1775,1,1,1,3
0,1775,1,1,0,5
0,1136,1,1,1,2
0,1136,1,1,0,4
1,1207,0,1,1,4
0,1065,1,1,1,2
0,1065,1,1,0,2
0,1207,1,1,1,4
0,1207,1,1,0,4
1,994,0,1,1,0
1,1278,1,1,1,4
0,1278,1,1,0,3
1,710,0,1,1,4
0,1207,0,1,1,2
0,923,0,1,1,0
0,1278,0,1,0,2
1,1349,2,1,1,5
0,1349,2,1,0,5
1,994,0,1,1,4
1,1065,0,1,1,0
1,1065,0,1,1,5
0,1065,1,1,0,1
0,1065,1,1,0,4
0,1207,1,1,0,5
1,1065,1,1,1,4
0,1065,1,1,0,3
0,852,0,1,1,3
0,1349,1,1,1,3
1,923,0,1,1,0
0,1349,1,1,0,3
0,1278,0,1,0,3
1,852,0,1,0,5
0,710,0,1,1,4
1,852,0,1,1,4
1,852,0,1,1,5
1,2201,0,1,1,3
1,852,0,1,1,5
1,1065,1,1,1,4
0,1065,1,1,0,0
0,1065,1,1,1,4
0,1065,1,1,0,4
1,852,0,1,1,0
0,2201,0,1,0,3
0,852,0,1,0,4
0,1420,0,1,0,3
0,4331,0,1,1,3
1,852,0,1,1,0
1,852,0,1,1,4
0,852,0,1,0,5
0,923,1,1,0,1
0,923,1,1,0,5
1,923,0,1,1,2
0,1207,0,1,0,2
1,994,0,1,1,3
0,1704,0,1,0,5
0,2201,1,1,0,1
1,852,0,1,1,3
0,1278,0,1,0,1
0,852,0,1,1,0
1,1065,1,1,1,1
0,1065,1,1,0,1
0,994,0,1,0,2
1,1207,0,1,1,4
1,1065,0,1,1,5
0,852,0,1,1,3
1,1278,1,1,1,2
0,1278,1,1,0,0
1,852,0,1,1,6
1,1349,2,1,1,4
0,1349,1,1,0,3
0,1349,1,1,0,3
0,1065,1,1,1,3
1,923,0,1,1,5
1,994,0,1,1,4
1,852,1,1,1,3
0,1491,1,1,0,3
0,1491,1,1,0,2
1,1491,2,1,1,5
0,852,2,1,0,1
1,852,0,1,1,6
0,1420,0,1,0,3
0,852,0,1,1,0
0,1136,1,1,0,2
1,1136,1,1,1,6
1,852,0,1,1,2
1,710,0,1,1,0
1,852,0,1,1,4
1,1349,0,1,1,2
1,1136,1,1,1,2
0,1136,1,1,0,2
1,1420,1,1,1,1
0,1420,1,1,0,1
0,1349,0,1,0,3
0,923,0,1,1,5
1,1065,0,1,1,4
0,1278,1,1,0,5
1,710,0,1,1,3
0,923,0,1,1,0
1,1633,0,1,1,2
1,2272,0,1,1,0
0,2201,1,1,0,4
1,1065,0,1,1,3
0,852,0,1,1,4
1,1065,0,1,1,0
0,852,0,1,0,3
1,1207,0,1,1,4
1,994,0,1,1,3
0,1278,0,1,0,3
1,1065,1,1,1,5
0,1065,1,1,0,5
1,852,0,1,1,3
0,2556,4,1,1,1
0,2556,4,1,0,1
0,2556,4,1,0,2
1,2556,4,1,1,6
0,2556,4,1,0,4
0,923,0,1,1,0
0,1136,0,1,0,2
0,852,0,1,1,0
0,1065,1,1,0,3
0,923,0,1,0,3
0,852,0,1,1,3
0,1775,0,1,0,4
0,852,0,1,1,3
1,1065,1,1,1,5
0,1065,1,1,0,3
0,923,0,1,1,5
0,923,0,1,1,2
1,852,0,1,1,5
1,923,0,1,1,5
1,1136,1,1,1,2
1,852,0,1,1,0
0,1136,1,1,0,1
0,1278,1,1,1,2
0,1278,1,1,0,2
0,1633,2,1,1,0
0,1633,2,1,1,4
0,1633,2,1,0,4
1,1704,1,1,1,5
0,1704,1,1,0,0
0,923,0,1,1,3
1,852,0,1,1,6
0,1065,1,1,1,5
0,1065,1,1,0,4
0,1207,1,1,0,5
1,852,0,1,1,0
0,1278,0,1,0,6
1,2272,1,1,1,6
1,2272,1,1,0,6
1,923,0,1,1,6
0,852,0,1,0,4
0,1207,2,1,0,1
1,1207,2,1,1,5
0,1207,2,1,0,3
0,1065,1,1,1,4
0,1065,1,1,0,0
1,1491,2,1,1,4
0,1491,2,1,1,1
0,1491,2,1,0,3
0,1207,0,1,0,0
0,852,0,1,1,3
1,852,0,1,1,4
1,923,0,1,1,6
1,923,0,1,1,4
0,4331,0,1,0,3
1,1207,1,1,1,6
0,1207,1,1,0,6
1,852,0,1,1,6
1,1207,1,1,1,5
1,1207,1,1,1,2
0,1633,0,1,0,5
0,1846,2,1,0,3
1,1846,2,1,1,5
0,1846,2,1,0,4
1,2201,2,1,1,5
1,2201,2,1,1,2
0,2201,2,1,0,5
0,852,0,1,0,2
1,1136,1,1,1,5
0,1136,1,1,1,2
1,923,0,1,1,0
0,1633,0,1,0,3
0,923,0,1,1,0
1,852,0,1,1,6
0,1633,0,1,0,3
1,852,1,2,1,3
0,852,1,2,0,2
1,781,0,2,1,3
1,781,0,2,1,1
1,781,0,2,1,2
1,852,1,2,1,3
0,852,1,2,0,3
1,781,0,2,1,5
1,781,0,2,1,1
1,781,0,2,1,2
0,781,0,2,0,3
1,781,0,2,1,2
1,781,0,2,1,5
0,852,1,2,1,3
0,852,1,2,0,1
1,852,0,2,1,2
0,923,3,2,1,0
0,923,3,2,0,0
0,923,3,2,0,1
0,923,3,2,0,3
0,781,0,2,1,3
0,781,0,2,0,1
1,781,0,2,1,2
1,781,0,2,1,2
1,781,0,2,1,4
1,781,0,2,1,2
0,781,0,2,0,2
0,923,2,2,0,1
1,923,2,2,1,6
0,923,2,2,0,4
0,852,1,2,0,2
1,852,1,2,1,2
0,781,0,2,0,3
1,781,0,2,1,2
1,781,0,2,1,4
0,781,0,2,0,4
0,852,2,2,1,0
0,852,2,2,1,2
0,852,2,2,0,2
0,852,0,2,0,3
1,710,0,2,1,0
1,781,0,2,1,1
1,852,1,2,0,4
1,852,1,2,1,5
1,781,0,2,1,5
1,852,1,2,1,3
1,852,1,2,0,2
0,923,2,2,0,2
0,923,2,2,0,4
1,852,1,2,1,2
0,852,1,2,0,2
1,781,0,2,1,2
1,781,0,2,1,2
0,781,0,2,1,2
0,852,2,2,0,0
1,852,2,2,1,3
0,852,2,2,0,3
0,781,0,2,0,2
1,781,0,2,0,3
1,852,0,2,0,0
1,781,0,2,1,2
1,710,0,2,1,0
0,923,2,2,1,0
1,1207,0,2,1,1
0,923,2,2,0,4
0,781,0,2,0,2
1,781,0,2,1,3
1,1207,0,2,1,1
1,852,1,2,1,2
0,852,1,2,0,2
1,923,0,2,1,2
1,1207,0,2,1,1
0,852,1,2,0,1
0,852,1,2,0,3
1,852,0,2,1,5
0,923,2,2,1,0
1,923,2,2,1,4
0,923,2,2,0,3
0,781,1,2,0,2
0,781,1,2,0,3
1,781,0,2,1,2
1,781,0,2,1,2
1,781,0,2,1,1
1,852,1,2,1,4
0,852,1,2,0,2
1,781,0,2,1,1
1,781,0,2,1,3
1,710,0,2,1,0
1,781,0,2,0,3
1,852,0,2,1,3
1,852,1,2,1,3
1,852,1,2,1,3
0,781,0,2,0,3
1,852,0,2,1,1
1,781,0,2,1,2
1,781,0,2,1,4
1,781,1,2,1,2
1,781,1,2,1,2
1,781,0,2,1,2
1,781,0,2,1,2
1,781,0,2,1,3
1,781,0,2,1,3
1,781,0,2,1,5
1,781,0,2,1,3
0,781,2,2,1,0
0,781,2,2,0,2
1,781,0,2,1,4
0,923,1,2,0,0
1,923,1,2,1,2
0,781,0,2,1,6
1,781,0,2,1,3
0,852,2,2,0,0
1,852,2,2,1,4
0,852,2,2,0,4
0,1136,3,2,0,2
0,1136,3,2,0,2
1,1136,3,2,1,4
0,1136,3,2,0,4
0,781,0,2,0,5
1,1207,2,2,1,2
1,1207,2,2,1,3
1,1207,2,2,1,2
1,781,2,2,0,1
0,852,3,2,0,2
1,781,3,2,1,2
1,781,0,2,1,3
0,852,4,2,0,5
1,781,0,2,1,5
1,852,1,2,1,4
0,852,1,2,0,2
1,1207,0,2,1,2
0,781,0,2,1,4
1,852,1,2,1,6
1,852,1,2,0,6
1,781,0,2,1,3
0,781,0,2,0,1
1,852,1,2,1,4
0,852,3,2,0,2
1,781,0,2,1,4
1,923,2,2,1,2
1,923,2,2,1,2
1,781,0,2,1,3
0,781,0,2,0,2
1,852,1,2,1,3
0,852,1,2,0,2
1,852,0,2,0,2
0,781,0,2,0,0
1,781,0,2,1,3
0,781,0,2,0,4
1,781,0,2,1,5
1,710,0,2,1,0
1,781,0,2,1,3
1,852,2,2,0,2
1,852,2,2,1,3
1,781,0,2,1,0
0,994,3,2,0,0
0,994,3,2,0,0
1,994,3,2,1,2
0,994,3,2,0,2
0,781,0,2,0,1
0,923,0,2,0,0
0,781,0,2,0,3
1,781,0,2,1,3
1,781,0,2,1,2
1,781,0,2,1,6
1,852,1,2,1,5
0,852,1,2,0,4
1,781,0,2,0,5
1,781,0,2,1,0
0,923,2,2,1,0
1,923,2,2,1,3
0,923,2,2,0,2
1,781,0,2,1,0
1,781,0,2,1,3
1,781,0,2,1,4
1,781,0,2,1,3
1,781,0,2,1,3
1,852,0,2,1,4
0,781,1,2,0,1
0,781,1,2,0,4
0,781,0,2,1,1
1,781,0,2,1,3
1,781,0,2,1,4
1,781,0,2,1,7
1,781,0,2,1,2
1,781,0,2,1,5
1,852,0,2,1,3
1,781,0,2,1,1
1,710,0,2,1,6
1,923,1,2,1,3
0,923,1,2,0,1
0,852,2,2,1,0
0,852,2,2,1,0
1,852,2,2,1,3
1,781,0,2,1,2
1,923,2,2,1,1
1,781,0,2,1,2
0,781,0,2,1,2
0,781,0,2,0,2
1,781,0,2,1,3
0,781,0,2,1,2
0,781,0,2,1,0
1,781,0,2,1,2
0,781,0,2,1,2
1,781,0,2,1,2
1,710,0,2,1,0
0,852,1,2,0,5
1,781,0,2,1,1
1,781,0,2,1,0
1,781,0,2,1,4
0,852,1,2,0,2
0,852,0,2,0,1
1,852,1,2,1,4
0,781,0,2,0,3
1,781,0,2,1,3
0,781,0,2,1,3
1,781,0,2,1,2
0,852,2,2,0,0
0,852,2,2,0,0
0,852,2,2,0,3
1,781,0,2,1,3
1,852,1,2,1,3
0,852,3,2,0,3
0,781,0,2,0,2
1,781,0,2,1,2
0,781,2,2,1,0
0,781,2,2,1,0
0,781,5,2,0,2
0,781,0,2,0,5
1,781,0,2,1,1
0,781,0,2,0,2
1,781,0,2,1,2
1,781,0,2,1,2
1,852,0,2,1,2
0,852,1,2,0,2
0,781,2,2,0,1
0,923,0,2,0,2
0,781,0,2,0,3
1,781,0,2,1,5
0,781,0,2,0,3
1,781,0,2,1,3
0,781,0,2,0,4
1,781,0,2,1,2
1,781,0,2,1,4
1,781,0,2,1,2
1,781,0,2,1,1
1,1136,0,2,1,1
0,781,0,2,0,5
1,781,0,2,1,2
0,781,0,2,0,2
0,781,0,2,0,2
1,852,1,2,1,2
1,852,1,2,0,2
1,781,0,2,1,4
0,852,0,2,0,3
1,852,1,2,1,3
1,781,1,2,1,2
0,852,0,2,0,3
1,710,0,2,1,0
0,781,0,2,0,1
0,781,0,2,0,4
0,781,0,2,0,3
1,852,1,2,1,2
0,852,1,2,0,2
0,852,2,2,1,0
0,852,2,2,0,0
0,852,2,2,0,2
0,852,3,2,0,0
0,852,3,2,0,0
1,852,3,2,1,3
0,852,3,2,0,3
1,781,0,2,1,6
1,781,0,2,1,0
0,781,0,2,1,3
0,781,0,2,1,0
0,781,0,2,0,2
1,781,0,2,0,2
1,710,0,3,1,4
1,852,2,3,1,1
1,852,2,3,1,1
0,852,2,3,0,3
0,710,0,3,0,1
0,710,0,3,1,2
0,710,0,3,1,2
0,710,0,3,0,1
1,710,0,3,1,3
1,710,0,3,1,2
1,710,1,3,0,4
0,710,1,3,1,0
0,710,1,3,0,1
0,781,0,3,1,2
1,710,0,3,1,2
1,710,0,3,1,2
1,710,0,3,1,2
1,710,0,3,1,2
1,710,0,3,1,3
1,710,0,3,1,1
1,852,0,3,1,3
0,710,1,3,0,1
1,923,6,3,1,0
1,923,6,3,0,0
1,923,6,3,0,0
0,710,6,3,0,1
1,710,6,3,0,3
1,923,6,3,0,0
1,923,6,3,0,1
1,923,6,3,1,3
0,710,0,3,1,2
1,710,0,3,1,2
1,923,6,3,0,3
1,710,0,3,1,2
1,710,0,3,1,2
1,781,1,3,1,2
1,781,1,3,0,1
1,710,0,3,1,2
1,710,0,3,1,3
1,923,6,3,1,0
1,923,6,3,1,0
0,923,6,3,1,0
1,923,6,3,1,1
0,923,6,3,0,0
1,923,6,3,1,4
0,710,0,3,1,2
